Code 代码	Abbrev 产品缩写	Description 说明	Support Wallet 支持钱包	LOTT 彩票	LIVE 真人	RNG 电子	FISH 捕鱼	PVP 棋牌	SPORT 体育	ESPORT电竞
194	PGE	Pocket Games Soft	TRANSFER			RNG/电子				
195	BT	BTGaming	TRANSFER			RNG/电子	FISH/捕鱼			
196	L365	Lucky365	TRANSFER			RNG/电子	FISH/捕鱼			
200	GM	Gemini Transfer	TRANSFER			RNG/电子				
201	WF	Winfast	TRANSFER			RNG/电子				
202	WS168	WS168 Cockfight	TRANSFER						SPORTS/体育	
203	AUX	AVATAR UX	TRANSFER			RNG/电子				
204	RLX	Relax Gaming	TRANSFER			RNG/电子				
205	HS	Hacksaw Gaming	TRANSFER			RNG/电子				
206	EKOR	EKOR	TRANSFER	LOTT/彩票						
209	LUC	LuckySports 乐奇体育	TRANSFER						SPORTS/体育	
211	ES	ES Games	SEAMLESS			RNG/电子				
212	SWG	SWGaming 乐奇体育	TRANSFER			RNG/电子	FISH/捕鱼	PVP/棋牌		
213	NG	Naga Games	TRANSFER			RNG/电子				
214	VIA	ViA CASINO	TRANSFER		LIVE/真人					
215	YGD	Yggdrasil	TRANSFER			RNG/电子				
216	FS	Fastspin FS电子	TRANSFER			RNG/电子	FISH/捕鱼			
217	VP	Victory Poker胜利棋牌	TRANSFER			RNG/电子	FISH/捕鱼	PVP/棋牌		
218	WOW	Wow Gaming	TRANSFER			RNG/电子		PVP/棋牌		
221	BOLE	Bole Gaming博乐	TRANSFER				FISH/捕鱼	PVP/棋牌		
220	WMT	WorldMatch WM世界对决	TRANSFER			RNG/电子	FISH/捕鱼			
224	3S2	3 SING SPORT	TRANSFER						SPORTS/体育	
227	NS	Nextspin虎游	TRANSFER			RNG/电子	FISH/捕鱼			
228	L22	Live22	TRANSFER			RNG/电子				
229	GFG	Good Fortune Gaming大运电子	TRANSFER			RNG/电子	FISH/捕鱼	PVP棋牌		
230	VL	Vegas Lounge 拉斯維加斯真人視訊	TRANSFER		LIVE/真人					
231	OG2	Oriental Game 东方游戏	TRANSFER		LIVE/真人					
232	OKE	OKE GAMES	TRANSFER		LIVE/真人					
233	OCT	Octoplay	TRANSFER			RNG/电子				
234	S38	Sports38	SEAMLESS						SPORTS/体育	
238	KS	KS Gaming开心游戏	TRANSFER				FISH/捕鱼	PVP/棋牌		
